Jeux,Description,Sortie,Test,Avis
Prince of Persia : Les Sables du Temps,"Prince of Persia : Les Sables du Temps est un jeu de plates-formes/aventure sur PC. Vous incarnez à nouveau le jeune prince qui commet l'erreur d'ouvrir un sablier maléfique condamnant immédiatement les âmes des habitants du palais. Le diabolique Vizir est encore une fois derrière tout ça, et c'est en arpentant le palais secondé par Farah que le joueur devra mettre un terme à la malédiction.",13 novembre 2003,19/20,
Driver,"Driver sur PC est un jeu de voiture dans lequel vous incarnez Tanner, un flic infiltré dans la mafia. Vous avez la réputation d'être un chauffeur qui n'a pas froid aux yeux et pour réaliser l'arrestation du siècle, vous devez remonter jusqu'aux grands pontes en exécutant les missions qu'on vous confie. Ces dernières se déroulent exclusivement au volant de votre véhicule, d'où le nom du jeu.",30 juin 1999,19/20,17.7/20
The Last of Us Remastered sur PS4,The Last of Us Remastered est un survival action sur PS4 qui raconte l'histoire de Joel et d'Ellie qui vont devoir s'entraider pour survivre face à une mystérieuse peste qui a décimé les Etats-Unis. La nature commence à s'approprier les villes abandonnées et les quelques survivants s'entre-tuent pour récupérer le peu de nourriture et d'armes encore présentes. Cette version améliorée du jeu propose l'aventure de base et le DLC Left Behind.,30 juillet 2014,19/20,18.4/20
The Secret of Monkey Island,"The Secret of Monkey Island nous entraîne dans une grande aventure en compagnie de l'apprenti pirate Guybrush Threepwood. Au fil d'une histoire remplie d'humour et de situations cocasses, Guybrush devra notamment faire ses preuves dans un combat d'insultes avant de tenter de percer le mystère de la fameuse Ile aux Singes.",1990,19/20,18.4/20
God of War III sur PS3,"Beat'em all prenant place dans un univers mythologique, God of War III vous permet d'incarner Kratos. A l'aide des Titans, vivez l'apothéose de la vengeance sanglante et brutale de Kratos envers les dieux de l'Olympe.",17 mars 2010,19/20,18.7/20
Inside,Inside est un jeu d'aventure et d'exploration où le joueur incarne un petit garçon qui doit s'en sortir dans une société étrange et autoritaire. Le joueur alterne entre les phases de plate-forme et d'énigmes.,29 juin 2016,19/20,17/20
The Legend of Zelda : Twilight Princess,"The legend of Zelda : Twilight Princess est un jeu d'aventure se déroulant dans le monde d'Hyrule. La dimension des ombres menace d'envahir le royaume et le héros, Link, changé en loup, devra affronter mille dangers pour sauver les enfants de son village et le monde en compagnie de l'énigmatique et sarcastique Midona.",8 décembre 2006,19/20,18.7/20
Bioshock,"Jeu de tir à la première personne (FPS), Bioshock vous entraîne dans les profondeurs de l'océan atlantique pour explorer les ruines d'une gigantesque cité sous-marine ravagée par la folie de ses créateurs. Perdu au cœur de cette dystopie mâtinée d'abomination scientifique, le joueur devra lutter à l'aide de plasmides (sortes de modules qui modifient l'ADN afin d'acquérir de puissants pouvoirs) contre des habitants qui ont depuis longtemps renié leur humanité.",31 août 2007,19/20,19/20
Gears of War 3 sur 360,"Gears of War 3 est un jeu d'action sur Xbox 360. Marcus, Dom, Cole, Baird et Anya sont de retour pour lutter contre les Locustes et les Lambents. Le jeu permet de conduire un nouveau type de véhicule, le Silverback, et profite d'un arsenal encore plus complet que ses prédécesseurs. Plusieurs modes multijoueur sont présents, vous permettant d'affronter d'autres joueurs dans des team deathmatch à 5 contre 5 ou encore de coopérer pour lutter contre des vagues d'ennemis.",20 septembre 2011,19/20,18.3/20
SoulCalibur II,"SoulCalibur II est un jeu de combat sur Gamecube. Mesurez-vous à une pléiade d'adversaires en duels armés dans des décors sublimes et tentez d'aller jusqu'au bout pour détruire l'épée maléfique. 13 personnages sont disponibles, ainsi qu'un personnage bonus propre à chaque console (Heihachi sur PS2, Link sur GC et Spawn sur Xbox). Divers modes de jeu sont disponibles, tels que Combat en équipe, Arcade, Contre la montre, Combat VS et Maître d'armes.",24 septembre 2003,19/20,18.4/20
Phoenix HD sur iOS,,29 juillet 2011,19/20,18.7/20
Sega Ages : Sonic the Hedgehog 2,Sonic the Hedgehog 2 reprend la recette qui a fait le succès du précédent volet et ajoute la possibilité d'utiliser un deltaplane dans certaines phases de jeu. Collectez les anneaux pour gagner des vies supplémentaires et libérez les animaux condamnés à la robotisation.,29 octobre 1992,19/20,18.7/20
L'Arche du Capitaine Blood,"L'Arche du Capitaine Blood sur PC est un jeu d'aventure dans lequel vous incarnez le capitaine Blood, programmateur de jeux, qui se retrouve prisonnier dans une de ses créations. Vous devez retrouver vos 5 clones et les absorber avant qu'il ne soit trop tard afin de pouvoir réintégrer le monde réel.",1988,19/20,18.6/20
Super Mario Bros.,"Super Mario Bros. est un jeu de plates-formes mettant en scène le célèbre plombier à moustache. Traversez de nombreux niveaux, sautez sur vos ennemis pour les éliminer, ramassez des champignons et des fleurs pour débloquer de nouvelles techniques. Affrontez le méchant Bowser et ses sbires afin de délivrer la délicieuse princesse Peach.",15 mai 1987,19/20,18.7/20
Bayonetta 2,"Suite du premier opus du même nom, Bayonetta 2 est un jeu de combat et d'action dans lequel le joueur incarne une puissante et séduisante sorcière. Le jeu propose diverses situations de combat toutes plus rocambolesques les unes que les autres, ainsi que des coups de grâces spectaculaires.",24 octobre 2014,19/20,17.9/20
Uncharted 2 : Among Thieves Edition Remastérisée,"Le chasseur de trésors Nathan Drake fait son retour dans Uncharted 2 : Among Thieves, un jeu mêlant aventure, action et tir à la troisième personne. Le héros se retrouve embarqué dans une expédition à la recherche de la légendaire vallée de Shambhala, dans l'Himalaya. Il est accompagné d'un grand criminel de guerre qui ne semble pas seulement chercher les trésors.",14 octobre 2009,19/20,16.3/20
Sonic CD,Sonic CD est un jeu de plates-formes sur PC. Il s'agit toujours de traverser les niveaux à toute vitesse en ramassant un maximum d'anneaux mais des adversaires de plus en plus coriaces viendront se frotter à notre héros.,1993,19/20,17.4/20
Myst,"Myst sur PC est un jeu d'aventure à la première personne dans lequel le joueur se retrouve plongé dans un monde qu'il ne connaît pas. En voyageant dans plusieurs environnements, il faudra découvrir peu à peu comment fonctionne ce monde et surtout pourquoi deux frères se sont vus enfermés dans des livres prisons. L'étrange monde de Myst n'attend que vous.",1993,19/20,17.3/20
Hexen II,"Hexen II est un FPS/jeu de rôle sur PC dans lequel votre but est d'éliminer Eidolon, le dernier et plus puissant des trois Chevaucheurs de Serpents venus de l'espace pour détruire votre monde. Vous pourrez choisir entre plusieurs classes (paladin, assassin, nécromancien etc.) pour traverser les 4 contrées de Thyrion.",11 septembre 1997,19/20,
Xenoblade Chronicles X sur WiiU,"Xenoblade Chronicles X est un jeu de rôle et d'aventure pour WiiU. Dans ce gigantesque monde ouvert et fantastique, les joueurs peuvent se déplacer et se battre à bord de robots volants de forme humanoïde.",4 décembre 2015,19/20,
Rock Band 3,"Rock Band 3 est un jeu de rythme sur Playstation 3. Avec plus de 80 nouveaux morceaux, le titre propose un nouveau clavier de deux octaves afin d'ouvrir des perspectives inédites de rythme. Avec la possibilité de joindre une batterie, micro et guitare, devenez un groupe à part entière avec vos amis.",29 octobre 2010,19/20,
SoulCalibur III sur PS2,"SoulCalibur III sur PS2 est un jeu de combat se déroulant dans des arènes en 3D. Les combattants sont tous dotés d'une arme blanche spécifique. Le jeu propose de nombreux modes : une histoire aux multiples embranchements pour chaque personnage, un éditeur de combattant, et un mode Chroniques de l'épée mêlant stratégie et combat dans lequel vous dirigez une petite équipe.",23 novembre 2005,19/20,17.9/20
Uncharted 4 : A Thief's End sur PS4,"Quatrième opus de la série de jeu d'action/aventure à succès de Naughty Dog, Uncharted 4 A Thief's End vous permet d'incarner Nathan Drake pour la première fois sur PS4. Le célèbre explorateur devra révéler le complot qui se cache derrière un légendaire trésor de pirates.",10 mai 2016,19/20,18.3/20
SoulCalibur,"SoulCalibur sur iPhone/iPod est un jeu de combat axé sur des affrontements à mains nues ou à l'arme blanche. La plupart des arènes permettent de propulser l'adversaire en dehors de celles-ci, l'esquive y joue donc un rôle primordial. A cela s'ajoute un très grand nombre de prises et de mouvements possibles pour chaque personnage.",1er décembre 1999,19/20,18.7/20
Legacy of Kain : Soul Reaver,"Soul Reaver sur PC est un jeu d'action et d'aventure dans lequel vous incarnez Raziel, autrefois vampire au service de Kain, puis déchu car possédant le potentiel pour prendre la place de son maître. Vous devez l'aider à accomplir sa vengeance en débarrassant les niveaux du jeu de tout suceur de sang qui croisera votre route.",Août 1999,19/20,17.8/20
Day of the Tentacle : Special Edition,"Day of the Tentacle : Special Edition est un jeu d'aventure sur PC faisant suite à Maniac Mansion. On y retrouve d'ailleurs le personnage de Bernard qui, accompagné par deux amis Hoogie et Laverne, devra sauver l'humanité de l'emprise des tentacules créés par le Dr Fred. Humour, anachronismes et voyages dans le temps sont au programme du jeu aux graphismes cartoon.",22 mars 2016,19/20,18.5/20
The Legend of Zelda : The Wind Waker HD sur WiiU,"The Legend of Zelda : The Wind Waker HD sur Wii U est le remake du jeu éponyme sorti sur GameCube. Cette version propose une refonte graphique en HD avec un affichage en 1080p, des couleurs et des effets de lumière retravaillés. L'ergonomie est optimisée grâce aux fonctions offertes par le GamePad et des modifications ont été introduites pour corriger les baisses de rythme du jeu original. Il est également possible de jeter des bouteilles à la mer pour communiquer avec les autres joueurs.",4 octobre 2013,19/20,17.8/20
Castlevania III : Dracula's Curse,"Castlevania III : Dracula's Curse est un jeu d'action / plates-formes sur Console Virtuelle Wii U divisé en plusieurs niveaux avec ennemis et pièges à volonté. Vous contrôlez Trevor Belmont, légendaire chasseur de vampires, armé du célèbre fouet Vampire Killer et de diverses attaques secondaires. Le jeu comporte 15 niveaux pour autant de boss.",10 décembre 1992,19/20,18.3/20
Day of the Tentacle,"Day of the Tentacle est un jeu d'aventure sur PC faisant suite à Maniac Mansion. On y retrouve d'ailleurs le personnage de Bernard qui, accompagné par deux amis Hoogie et Laverne, devra sauver l'humanité de l'emprise des tentacules créés par le Dr Fred. Humour, anachronismes et voyages dans le temps sont au programme du jeu aux graphismes cartoon.",1993,19/20,19.2/20
Wing Commander,"Wing Commander est un jeu de combat spatial qui place le joueur au coeur d'un conflit mettant aux prises les hommes et les Kilrathis, créatures mi-humaines, mi-félines. Le joueur incarne un jeune pilote, tout juste sorti de l'académie, intégré dans la campagne Vega. Il existe différents types de vaisseaux, chacun possédant ses propres caractéristiques. Les missions se déroulent sous les ordres du Wingman, vaisseau allié qu'il est indispensable de préserver des attaques ennemies.",1990,19/20,18.5/20
The Legend of Zelda : Majora's Mask,"The Legend of Zelda : Majora's Mask est la suite d'Ocarina of Time. Link arrive dans le monde de Termina après une rencontre mouvementé avec Skull Kid, un étrange garçon possédant le dangereux masque de Majora. Dans ce jeu d'action/aventure en 3D, le joueur a trois jours pour sauver le monde de la lune qui menace de s'abattre et récupérer ce qui lui a été volé...",17 novembre 2000,19/20,17/20
F1 World Grand Prix,"F1 World Grand Prix est une simulation de courses de Formule 1 sur PC. Le jeu se base sur le championnat de 1998 et inclut les pilotes et écuries officiels. Les modes classiques Championship, Time Trial et Single Race sont présents. Le Match Race vous permet de vous mesurer à des adversaires via Internet.",7 juillet 1999,19/20,18.8/20
Metal Gear Solid 3 : Snake Eater,"Metal Gear Solid 3 : Snake Eater est un jeu d'infiltration se passant avant les précédents épisodes. Pendant la guerre froide, Naked Snake doit s'infiltrer sur le territoire russe pour y récupérer un scientifique. Il devra utiliser toutes ses armes et ses gadgets pour parcourir les différentes zones, de la jungle au complexe militaire.",3 mars 2005,19/20,18/20
Metal Slug,"Metal Slug est un jeu d'action sur PS3. Vous incarnez Marco Rossi et Tarma Roving, membres des Peregrine Falcons, en mission pour libérer de nombreux prisonniers. Face à vous, une horde d'ennemis qui veulent votre peau, et que vous devez donc annihiler, grâce notamment aux armes et véhicules que vous pouvez trouver en chemin.",1997,19/20,16.6/20
Ecco the Dolphin,"Ecco the Dolphin sur PC est un jeu d'action qui a l'originalité de mettre le joueur aux commandes d'un dauphin. L'histoire débute lorsque Ecco assiste impuissant à la disparition de tout l'écosystème, emporté par une mystérieuse tempête. 25 niveaux durant, explorez les abîmes et résolvez de nombreuses énigmes afin de ramener le calme au sein de la crique.",1992,19/20,18/20
Hand of Fate sur PC,"Hand of Fate est un jeu d'aventure qui constitue le deuxième volet de la trilogie des Legend of Kyrandia. Vous incarnez Zanthia, une jeune sorcière. Le monde de Kyrandia est en train de couler et c'est à vous que revient la lourde tâche de le sauver. Le jeu se présente sous la forme d'un jeu d'aventure classique, avec une succession d'écrans où le joueur peut interagir avec quelques éléments du décor.",1993,19/20,18.4/20
Half-Life : Counter-Strike sur PC,"Créé à partir du célèbre moteur de Half-Life, Counter-Strike sur PC est un jeu de tir à la première personne se jouant exclusivement en ligne. Le jeu, qui compte une grande communauté, vous permet de choisir votre camp entre les terroristes et les contre-terroristes. Plusieurs objectifs différents en fonction du camp adopté et de la carte choisie doivent être menés à bien afin de remporter la partie. Vous disposez également d'un large choix d'armes existantes afin de renforcer l'immersion.",11 décembre 2000,19/20,18.7/20
Riven : La Suite de Myst,"Riven : La Suite de Myst est un jeu de réflexion/aventure sur PC. Vous êtes convoqué par Atrus qui a besoin de vous pour libérer sa femme Catherine. L'intuition, la réflexion et la résolution d'énigmes sont vos seules armes pour parvenir à votre but dans le monde sublime de Riven !",1997,19/20,17.5/20
Sonic & Knuckles,"Sonic & Knuckles est un jeu de plates-formes sur PC. Il faut à nouveau arrêter le Dr. Robotnik qui souhaite s'emparer du Master Emerald, le plus puissant des Chaos Emerald, pour construire une arme destructrice. Vous pouvez incarner Sonic ou Knuckles et il faudra ramasser un maximum d'anneaux en dévalant les huit zones du jeu à toute vitesse.",1994,19/20,18.5/20
Bioshock Infinite,"Troisième épisode de la série Bioshock, Bioshock Infinite est un jeu d'aventure dont l'action se passe en 1912, dans la cité flottante de Colombia. Le joueur accompagne Booker DeWitt, un détective chargé de retrouver une jeune femme disparue, prisonnière de la ville.",26 mars 2013,19/20,
Okami HD sur PS3,"Okami HD est un jeu d'aventure et d'action sur PS3. Le titre dispose d'un aspect graphique très particulier et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.",31 octobre 2012,19/20,
Super Mario 64,"Super Mario 64 sur Wii U est un jeu de plates-formes 3D mettant en scène le plombier. Explorez et découvrez les secrets du château de Peach, trouvez les 120 étoiles et battez Bowser une nouvelle fois. Profitez aussi d'une nouvelle panoplie de mouvements pour le plombier à moustache.",1er mars 1997,19/20,18.9/20
Mystic Quest sur GB,"Mystic Quest est un spin-off de la saga Final Fantasy orienté action-RPG et développé sur Gameboy. Il est le premier de la série Seiken Densetsu et sera rebaptisé aux Etats-Unis Final Fantasy Adventure. Il raconte l'aventure d'un jeune héros, esclave de l'empire Glaive, qui va s'échapper pour tenter de retrouver la trace des chevaliers Gemme afin de protéger l'arbre mana.",1993,19/20,18.6/20
Shadow of the Colossus,"Jeu d'action et d'aventure, Shadow of the Colossus vous plonge dans un monde empreint de poésie dans lequel vous incarnez un jeune héros, Wanda, accompagné de son fidèle destrier Argo à la recherche d'un pouvoir mystique. Ce pouvoir est gardé par 16 colosses qui peuplent le monde, il vous faut les trouver pour réveiller l'être aimée. Parcourez un monde sans frontière pour poursuivre votre but et laissez-vous porter dans un univers onirique.",17 février 2006,19/20,18.1/20
The Walking Dead : Saison 1,"Inspiré de la bande-dessinée du même nom, The Walking Dead : Saison 1 est un jeu d'aventure dont l'action se déroule dans un monde où les gens se transforment en zombies suite à une infection inconnue. Le joueur y incarne Lee, un prisonnier rescapé qui prendra sous son aile la jeune Clémentine pour l'aider à retrouver ses parents.",25 avril 2012,19/20,18.2/20
The Legend of Zelda : Ocarina of Time,"Dans The Legend of Zelda : Ocarina of Time, vous incarnez Link, un jeune Kokiri devant partir à l'aventure dans le monde menacé d'Hyrule. Au cours de son aventure, pour la première fois en 3D, il devra s'aider de divers objets, et particulièrement de l'ocarina, pour voyager dans le temps et l'espace, et ainsi vaincre Ganondorf.",11 décembre 1998,19/20,19.3/20
Super Mario Galaxy,"Super Mario Galaxy est un jeu de plates-formes sur la Wii U de Nintendo. C'est dans l'espace et à la découverte de nombreuses galaxies que vous devez cette fois diriger Mario. A vous d'aider le célèbre plombier dans sa mission de collecte d'étoiles. Soixantaine d'entre elles suffisent pour finir le jeu, mais au total, ce sont plus de 120 étoiles qui vous attendent. Mario va trouver sur son chemin de nombreux bonus et champignons pour l'aider dans sa quête.",16 novembre 2007,19/20,18.3/20
Dead Space 2,"Dead Space 2 est un survival-horror qui fait suite au premier opus de la série. Isaac est en mission sur une station géante dévastée, The Sprawl, et doit de nouveau faire face aux Nécromorphes, avec un panel d'armes plus large et dans des environnements plus variés.",27 janvier 2011,19/20,18.1/20
Fallout,"Fallout est un jeu de rôle sur PC vous projetant dans un univers post-nucléaire. Après la Grande Guerre du XXIe siècle qui fut dévastatrice pour l'humanité, des hommes tentent de survivre dans les ruines de grandes villes. Vous incarnez un réfugié de l'Abri 13, l'un de ceux construits pour protéger quelques privilégiés. Le dirigeant de l'Abri 13 vous envoie chercher une puce de rechange pour la filtration de l'eau. Né dans l'abri, vous vous apprêtez à découvrir ce qu'il reste du monde extérieur.",30 septembre 1997,19/20,18.4/20
Xenoblade Chronicles,"Xenoblade Chronicles est un RPG japonais. Il relate la guerre entre les hommes et machines, provoquée par un affrontement entre les grands dieux Bionis et Mékonis. Immobilisés alors que leurs lames entraient en contact, leurs corps abritent désormais deux nations rivales : les Homz et les machines. Le héros, Shulk, est un jeune garçon qui hérite d'une arme surpuissante nommée Monado, capable de prédire l'avenir.",19 août 2011,19/20,18.7/20
Super Smash Bros. for Wii U sur WiiU,"Super Smash Bros. for Wii U est un jeu de combat en arènes dans lesquelles s’affrontent un grand nombre de personnages issus de l’univers de Nintendo, tels que Pikachu, Link, Mario, Samus, ou encore Donkey Kong. De nouveaux combattants arrivent également tels que Mega Man, la coach de Wii Fit, et même le villageois de Animal Crossing. De nombreux modes sont disponibles, et le mode multijoueur est bien évidemment toujours de la partie.",28 novembre 2014,19/20,17.4/20
Dune,"Dune sur PC est un jeu mêlant aventure, gestion et stratégie. L'histoire qui se déroule sur la planète Arrakis, est centrée sur un conflit entre deux maisons autour de l'extraction de l'épice, substance la plus précieuse de l'univers. Le scénario suit les aventures de Paul Atréides, qui met toutes ses compétences à l'oeuvre pour défendre les intérêts des siens. Tissez des relations avec les tribus locales, assurez l'extraction de l'épice et chassez les cruels Harkonnen.",1992,19/20,19.2/20
Final Fantasy VI,"Final Fantasy VI est un jeu de rôle japonais à l'univers sombre. Dans cet épisode, la technologie Magitek a pris le pas sur la magie, 1000 ans après une grande guerre, et l'Empire règne d'une main de fer sur le monde. Le héros, Lock, dirige un groupe de rebelles, les Returners, et essaye de se retourner contre cette super-puissance.",27 février 2002,19/20,18.7/20
Shadow Man,"Vous êtes Shadow Man et avez la capacité de passer du monde des vivants au monde des morts en un claquement de doigts. Dans ce jeu sur PC, vous devez empêcher des tueurs en série de plonger le monde dans le chaos. Vous disposez de pouvoirs vaudous afin de vous débarrasser de vos ennemis dans le monde des morts et d'armes à feu pour abattre ceux du monde des vivants.",Août 1999,19/20,17.8/20
Chrono Trigger,"Chrono Trigger est un jeu de rôle mettant en scène le jeune Chrono dans ses aventures à travers le temps. Ce dernier part à la suite de la princesse, absorbée par le passé lors de la fête du Millénaire, et rencontrera de nombreux autres personnages au cours de ses aventures et devra affronter mille dangers...",11 mars 1995,19/20,19/20
The Last of Us sur PS3,"The Last of Us est un jeu d'action et de survie dans laquelle le joueur incarne Joel et Ellie, obligés de voyager ensemble à travers les États-Unis. L'histoire se passe dans un monde ravagé par une maladie transformant les gens en zombies et ayant semé l'anarchie parmi les survivants il y a des années de cela. L'esquive et l'infiltration seront souvent de mise face à des ennemis en surnombre ou particulièrement puissants.",14 juin 2013,19/20,18.7/20
Arx Fatalis,"Arx Fatalis est un jeu de rôle médiéval fantastique à la première personne sur PC. L'humanité et toutes sortes de monstres vivent sous la surface, dans d'immenses souterrains. Pour survivre, le joueur doit faire cuire sa nourriture, récupérer de l'équipement, remplir des quêtes et apprendre des sortilèges. Ces derniers sont lancés en traçant des symboles runiques à l'écran.",26 septembre 2002,19/20,17.2/20
Ori and the Blind Forest,"Ori and the Blind Forest est un Metroidvania prenant place dans un univers enchanteur et poétique. Assez classique dans son approche du genre, vous devrez fouiller chaque niveau pour débloquer de nouveaux pouvoirs et capacités afin d'accéder aux zones suivantes.",11 mars 2015,19/20,18.8/20
Dynamite Headdy,"Dynamite Headdy à télécharger sur PC met en scène un jouet qui a la particularité de se battre avec sa tête amovible. Lancez-la sur vos adversaires pour vous en débarrasser dans ce jeu de plates-formes cartoonesque et défaites le maléfique Dark Demon qui tente de transformer les jouets de la ville en sbires à sa solde. Combattez également votre ennemi juré, l'ours Trouble Bruin et délivrez la ville du joug démoniaque.",1994,19/20,17.1/20
